water_area,continent,country,state,county,year
Atlantic Ocean,North America,USA,Florida,Volusia County,2013
Atlantic Ocean,North America,USA,Florida,Volusia County,2013
Atlantic Ocean Area; creek or river,North America,USA,South Carolina,Beaufort County,2013
Gulf of Mexico,North America,USA,Florida,Escambia County,2013
DIJ,Australia,Australia,New South Wales,DIJ,2013
Atlantic Ocean,North America,USA,Florida,Volusia County,2013
Atlantic Ocean,North America,USA,Florida,Palm Beach County,2013
Gulf of Mexico,North America,USA,Florida,Bay County,2013
Atlantic Ocean,North America,USA,Florida,Brevard County,2013
Gulf of Mexico,North America,USA,Florida,Okaloosa County,2013
Pacific Ocean,North America,USA,California,Humboldt County,2013
DIJ,Australia,Australia,Western Australia,DIJ,2013
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,DIJ,2013
Pacific Ocean,Pacific Ocean Islands,USA,Hawaii,Kauai,2013
Pacific Ocean,Pacific Ocean Islands,USA,Hawaii,Maui,2013
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Pierre,2013
Indian Ocean,Australia,Australia,Western Australia,DIJ,2013
Pacific Ocean Islands,Pacific Ocean Islands,USA,Hawaii,Maui,2013
Atlantic Ocean,North America,USA,Florida,Dade County,2013
Indian Ocean,Australia,Australia,Western Australia,DIJ,2013
Pacific Ocean,Pacific Ocean Islands,USA,Hawaii,Maui,2013
Tasman Sea,Australia,Australia,New South Wales,DIJ,2013
Pacific Ocean,Australia,Australia,New South Wales,DIJ,2013
Atlantic Ocean,North America,USA,Florida,Volusia County,2013
Atlantic Ocean,North America,USA,Florida,Brevard County,2013
Pacific Ocean,North America,USA,Oregon,Lincoln,2013
Pacific Ocean,Pacific Ocean Islands,USA,Hawaii,Hawaii,2013
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,DIJ,2013
Pacific Ocean,Australia,Australia,Queensland,DIJ,2013
Pacific Ocean,Pacific Ocean Islands,New Caledonia,North Province,DIJ,2013
Gulf of Mexico,North America,USA,Alabama,Baldwin,2013
Atlantic Ocean South,Africa,Republic of South Africa,Eastern Cape,,2013
Pacific Ocean,Polynesian Islands,French Polynesia,Tuamotu Islands,Fakarava Atoll,2013
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Pierre,2013
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Pierre,2013
Tortuga Bay,South America,Ecuador,Galapagos Islands,Santa Cruz,2013
Pacific Ocean South,Australia,Australia,New South Wales,DIJ,2012
Pacific Ocean North,North America,USA,Oregon,Lincon County,2012
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,DIJ,2012
Pacific Ocean South,Australia,Australia,New South Wales,Newcastle,2012
Indian Ocean,Australia,Australia,Western Australia,DIJ,2012
Coral Sea,Australia,Australia,Queensland,DIJ,2012
Manning River,Australia,Australia,New South Wales,DIJ,2012
